               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  17,            0.039122,            0.016419,           0.0029635,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044935,           0.0044935,           0.0044935
                  18,            0.039009,            0.016352,           0.0031993,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041794,           0.0041794,           0.0041794
                  19,            0.038452,             0.01631,           0.0028865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038652,           0.0038652,           0.0038652
                  20,            0.037956,            0.016705,           0.0027734,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035511,           0.0035511,           0.0035511
                  21,             0.03714,             0.01604,           0.0027118,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032369,           0.0032369,           0.0032369
                  22,            0.037442,            0.016219,           0.0026303,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029228,           0.0029228,           0.0029228
                  23,            0.036421,            0.016091,           0.0025971,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026086,           0.0026086,           0.0026086
                  24,            0.036204,            0.015797,           0.0024467,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022945,           0.0022945,           0.0022945
                  25,            0.035897,            0.015424,           0.0023854,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019803,           0.0019803,           0.0019803
                  26,            0.035658,            0.015735,           0.0022695,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016662,           0.0016662,           0.0016662
                  27,            0.034766,            0.015281,           0.0021405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001352,            0.001352,            0.001352
                  28,            0.034906,            0.015416,           0.0022785,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010379,           0.0010379,           0.0010379
                  29,            0.034777,            0.015705,           0.0022202,             0.92308,             0.61995,             0.68952,             0.40753,            0.034201,            0.014055,           0.0021258,           0.0007237,           0.0007237,           0.0007237
                   0,            0.085162,            0.023984,            0.034559,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045861,           0.0045861,            0.049595
                   1,            0.067529,            0.020811,            0.019269,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008874,            0.008874,             0.01259
                   2,            0.057172,            0.018292,            0.012002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089571,           0.0089571,           0.0089571
